index,true_label_str,verdict,pred_binary,correct,confidence,reasoning
87,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
88,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
89,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
90,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
91,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
92,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
93,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
94,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
95,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
96,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
97,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
98,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
99,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
100,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
